steps,return0
0,-1.102023464725216
5000,-1.003941259730069
10000,-0.889277797998869
15000,-1.001065500111952
20000,-0.9305990285443955
25000,-1.0981033871126533
30000,-1.0584502852765278
35000,-0.9571438621084866
40000,-0.6559652781313545
45000,-0.6856792950926189
50000,-0.9368074075413295
55000,-0.6223113522845684
60000,-0.5460990140248906
65000,-0.5366359796851349
70000,-0.9913855888691717
75000,-0.5765612037387241
80000,-0.5072051639191606
85000,-0.3318448129811688
90000,-0.6051507904670943
95000,-0.536449847553036
100000,-0.61755344720087
105000,-0.5485868522970978
110000,-0.3143952855341699
115000,-0.20419087980675998
120000,-0.5111635044310927
125000,-0.41819541146458955
130000,-0.5042692162020839
135000,-0.5644555776270112
140000,-0.6489870933831542
145000,-0.5008766430669498
150000,-0.32818033482539943
155000,-0.6033447086291248
160000,-0.4929256645439006
165000,-0.4814842113306531
170000,-0.6350305123923803
175000,-0.5563263615032008
180000,-0.5378222357864464
185000,-0.5558952023599455
190000,-0.41622154783345156
195000,-0.5817193730083756
